age,bin,attri_mort,attri_mort_lower,attri_mort_upper
30,13.5,0.000318176,0.000263041,0.000372039
35,13.5,0.000435488,0.00036003,0.000509213
40,13.5,0.000543368,0.000449299,0.000635295
45,13.5,0.000718207,0.00059383,0.000839799
50,13.5,0.000999811,0.000826512,0.001169315
55,13.5,0.001388486,0.001147259,0.001624554
60,13.5,0.002037577,0.001682504,0.002385256
65,13.5,0.002883385,0.002378996,0.003377588
70,13.5,0.004140002,0.003413622,0.004852285
75,13.5,0.006108307,0.005032551,0.007164174
80,13.5,0.008766982,0.007214334,0.010293426
85,13.5,0.022385148,0.018420698,0.026282691
25,14,0.000223827,0.000185123,0.000261607
30,14,0.000337936,0.000279466,0.000395018
35,14,0.000461139,0.000381359,0.000539034
40,14,0.000573382,0.000474267,0.000670175
45,14,0.000756179,0.000625422,0.000883926
50,14,0.001050005,0.000868272,0.001227645
55,14,0.00144691,0.00119589,0.001692405
60,14,0.002126396,0.001756362,0.002488504
65,14,0.002997586,0.002473928,0.003510373
70,14,0.004309775,0.003554582,0.005049886
75,14,0.006330424,0.005216934,0.007422772
80,14,0.009054127,0.007452398,0.010628041
85,14,0.023097092,0.019011077,0.027112153
25,14.5,0.000236538,0.000195699,0.000276377
30,14.5,0.000356278,0.000294727,0.000416327
35,14.5,0.000486731,0.00040265,0.000568771
40,14.5,0.000603534,0.000499363,0.000705198
45,14.5,0.000793887,0.000656812,0.000927722
50,14.5,0.001098738,0.000908841,0.00128424
55,14.5,0.001506153,0.001245222,0.001761187
60,14.5,0.002211686,0.001827331,0.002587585
65,14.5,0.003096625,0.00255637,0.003625355
70,14.5,0.004471219,0.003688708,0.005237673
75,14.5,0.00655784,0.005405707,0.007687467
80,14.5,0.009331556,0.007682529,0.010951164
85,14.5,0.023759491,0.019560827,0.027883251
25,15,0.000246613,0.000204097,0.00028806
30,15,0.000370292,0.000306415,0.00043257
35,15,0.000506007,0.000418726,0.000591115
40,15,0.000629756,0.000521219,0.000735615
45,15,0.000826904,0.000684333,0.000966016
50,15,0.001140817,0.000943928,0.001333033
55,15,0.001554158,0.00128528,0.001816801
60,15,0.002280374,0.001884613,0.002667204
65,15,0.003195704,0.002638884,0.003740339
70,15,0.004618491,0.003811209,0.005408784
75,15,0.006778609,0.005589088,0.007944309
80,15,0.009645451,0.007942787,0.011316976
85,15,0.024426939,0.020114971,0.02866005
